ID	Filename	Species	Location	Pop	Sex
sample_42	sample_42_1alignmentonly	crested lark	Saudi Arabia	CRE	F
sample_47	sample_47_1alignmentonly	crested lark	Saudi Arabia	CRE	F
sample_51	sample_51_1alignmentonly	crested lark	Saudi Arabia	CRE	F
sample_91	sample_91_1alignmentonly	crested lark	Saudi Arabia	CRE	M
sample_93	sample_93_1alignmentonly	crested lark	Saudi Arabia	CRE	F
sample_33	sample_33_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_34	sample_34_1alignmentonly	Oriental skylark	Taiwan	OST	F
sample_35	sample_35_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_36	sample_36_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_37	sample_37_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_39	sample_39_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_43	sample_43_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_53	sample_53_1alignmentonly	Oriental skylark	Taiwan	OST	M
sample_54	sample_54_1alignmentonly	Oriental skylark	Taiwan	OST	F
sample_55	sample_55_1alignmentonly	Oriental skylark	Taiwan	OST	F
sample_58	sample_58_1alignmentonly	Oriental skylark	Taiwan	OST	F
sample_5	sample_5_1alignmentonly	Raso lark	Raso	RAS	M
sample_7	sample_7_1alignmentonly	Raso lark	Raso	RAS	F
sample_13	sample_13_1alignmentonly	Raso lark	Raso	RAS	F
sample_15	sample_15_1alignmentonly	Raso lark	Raso	RAS	F
sample_17	sample_17_1alignmentonly	Raso lark	Raso	RAS	F
sample_21	sample_21_1alignmentonly	Raso lark	Raso	RAS	F
sample_22	sample_22_1alignmentonly	Raso lark	Raso	RAS	M
sample_23	sample_23_1alignmentonly	Raso lark	Raso	RAS	F
sample_24	sample_24_1alignmentonly	Raso lark	Raso	RAS	M
sample_25	sample_25_1alignmentonly	Raso lark	Raso	RAS	F
sample_26	sample_26_1alignmentonly	Raso lark	Raso	RAS	M
sample_27	sample_27_1alignmentonly	Raso lark	Raso	RAS	F
sample_30	sample_30_1alignmentonly	Raso lark	Raso	RAS	F
sample_40	sample_40_1alignmentonly	Raso lark	Raso	RAS	F
sample_46	sample_46_1alignmentonly	Raso lark	Raso	RAS	F
sample_67	sample_67_1alignmentonly	Raso lark	Raso	RAS	F
sample_70	sample_70_1alignmentonly	Raso lark	Raso	RAS	F
sample_72	sample_72_1alignmentonly	Raso lark	Raso	RAS	M
sample_73	sample_73_1alignmentonly	Raso lark	Raso	RAS	M
sample_76	sample_76_1alignmentonly	Raso lark	Raso	RAS	M
sample_77	sample_77_1alignmentonly	Raso lark	Raso	RAS	M
sample_78	sample_78_1alignmentonly	Raso lark	Raso	RAS	M
sample_80	sample_80_1alignmentonly	Raso lark	Raso	RAS	M
sample_81	sample_81_1alignmentonly	Raso lark	Raso	RAS	F
sample_89	sample_89_1alignmentonly	Raso lark	Raso	RAS	F
sample_94	sample_94_1alignmentonly	Raso lark	Raso	RAS	M
sample_69	sample_69_1alignmentonly	Oriental skylark	Qinghai	OSQ	M
sample_74	sample_74_1alignmentonly	Oriental skylark	Qinghai	OSQ	F
sample_83	sample_83_1alignmentonly	Oriental skylark	Qinghai	OSQ	F
sample_87	sample_87_1alignmentonly	Oriental skylark	Qinghai	OSQ	F
sample_65	sample_65_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	F
sample_66	sample_66_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	M
sample_75	sample_75_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	M
sample_82	sample_82_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	F
sample_84	sample_84_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	M
sample_85	sample_85_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	M
sample_88	sample_88_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	F
sample_90	sample_90_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	F
sample_92	sample_92_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	M
sample_96	sample_96_1alignmentonly	Eurasian skylark	Eastern Russia & Mongolia	ESE	F
sample_2	sample_2_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_3	sample_3_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_4	sample_4_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_6	sample_6_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_8	sample_8_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_9	sample_9_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_10	sample_10_1alignmentonly	Eurasian skylark	Netherlands	ESN	M
sample_11	sample_11_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_18	sample_18_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_19	sample_19_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_28	sample_28_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_31	sample_31_1alignmentonly	Eurasian skylark	Netherlands	ESN	F
sample_32	sample_32_1alignmentonly	Eurasian skylark	Netherlands	ESN	M
sample_44	sample_44_1alignmentonly	Eurasian skylark	Western Russia	ESW	M
sample_45	sample_45_1alignmentonly	Eurasian skylark	Western Russia	ESW	F
sample_50	sample_50_1alignmentonly	Eurasian skylark	Western Russia	ESW	F
sample_57	sample_57_1alignmentonly	Eurasian skylark	Western Russia	ESW	M
sample_59	sample_59_1alignmentonly	Eurasian skylark	Western Russia	ESW	M
sample_60	sample_60_1alignmentonly	Eurasian skylark	Western Russia	ESW	F
sample_61	sample_61_1alignmentonly	Eurasian skylark	Western Russia	ESW	M
sample_63	sample_63_1alignmentonly	Eurasian skylark	Western Russia	ESW	M
sample_64	sample_64_1alignmentonly	Eurasian skylark	Western Russia	ESW	M
